,itemID,userID,reviewerID,asin
79,138,1013,A31DVKL8JE4XAH,B00CPXFEY2
80,322,1013,A31DVKL8JE4XAH,B003NSB0C8
81,509,1013,A31DVKL8JE4XAH,B0025Z3J38
83,648,1013,A31DVKL8JE4XAH,B00AQ2ADJK
85,1215,1013,A31DVKL8JE4XAH,B0017DF9U0
86,1247,1013,A31DVKL8JE4XAH,B000J63RJQ
88,0,1407,AI1J8UQELHK8L,B000GUO4L0
89,209,1407,AI1J8UQELHK8L,B00D7H8XB6
90,409,1407,AI1J8UQELHK8L,B000A2BJR6
92,646,1407,AI1J8UQELHK8L,B0002EZUYK
93,875,1407,AI1J8UQELHK8L,B001RU18D0
96,1857,1407,AI1J8UQELHK8L,B004GXAY9E
97,0,2727,A240FRPD4MEXND,B000GUO4L0
98,62,2727,A240FRPD4MEXND,B00EU9V588
99,71,2727,A240FRPD4MEXND,B005J7Y6GS
102,195,2727,A240FRPD4MEXND,B008FYGKJI
103,217,2727,A240FRPD4MEXND,B00AQ2AGRY
104,219,2727,A240FRPD4MEXND,B002E3AI0I
105,255,2727,A240FRPD4MEXND,B0016GE5P8
106,262,2727,A240FRPD4MEXND,B00A750ZHG
107,427,2727,A240FRPD4MEXND,B002M7U04U
108,456,2727,A240FRPD4MEXND,B001JQLHS8
110,974,2727,A240FRPD4MEXND,B004O6M8Z6
111,996,2727,A240FRPD4MEXND,B0091Y07Y0
112,1388,2727,A240FRPD4MEXND,B000UY6M2G
113,1469,2727,A240FRPD4MEXND,B00006IDV6
114,2068,2727,A240FRPD4MEXND,B00065Z2DY
115,2259,2727,A240FRPD4MEXND,B002JM1XRQ
120,398,2680,A33UZDO4KB4S0H,B0017GPTSY
122,1562,2680,A33UZDO4KB4S0H,B003YT6RLA
123,1874,2680,A33UZDO4KB4S0H,B003YT6RLK
129,32,2722,A2JXCOUGYS5Y4J,B002K9M8RC
131,69,2722,A2JXCOUGYS5Y4J,B002K9GOPE
132,81,2722,A2JXCOUGYS5Y4J,B005X9VZ70
133,103,2722,A2JXCOUGYS5Y4J,B004O49F7M
135,164,2722,A2JXCOUGYS5Y4J,B001PMJXD2
136,215,2722,A2JXCOUGYS5Y4J,B00CPXDK2U
138,287,2722,A2JXCOUGYS5Y4J,B004YGBIVQ
139,295,2722,A2JXCOUGYS5Y4J,B002K9PIKG
140,322,2722,A2JXCOUGYS5Y4J,B003NSB0C8
141,351,2722,A2JXCOUGYS5Y4J,B00CL55JQM
142,404,2722,A2JXCOUGYS5Y4J,B002M7W19C
143,440,2722,A2JXCOUGYS5Y4J,B00GFFGVKC
144,441,2722,A2JXCOUGYS5Y4J,B002M835HI
145,483,2722,A2JXCOUGYS5Y4J,B00F4HAFU4
146,497,2722,A2JXCOUGYS5Y4J,B00AGV7T5W
147,499,2722,A2JXCOUGYS5Y4J,B009ZMYPZA
148,527,2722,A2JXCOUGYS5Y4J,B00DGY5IPY
152,614,2722,A2JXCOUGYS5Y4J,B002R5ARLI
153,685,2722,A2JXCOUGYS5Y4J,B00A8YIAPA
157,736,2722,A2JXCOUGYS5Y4J,B003I869CY
159,886,2722,A2JXCOUGYS5Y4J,B003OCQOLA
163,46,3160,A30J7WQV0ZNRXG,B000WU4H5C
164,81,3160,A30J7WQV0ZNRXG,B005X9VZ70
165,100,3160,A30J7WQV0ZNRXG,B000J05FKQ
167,161,3160,A30J7WQV0ZNRXG,B00DGHO3NY
170,295,3160,A30J7WQV0ZNRXG,B002K9PIKG
171,386,3160,A30J7WQV0ZNRXG,B004M27EOW
174,487,3160,A30J7WQV0ZNRXG,B003FHBPRM
175,706,3160,A30J7WQV0ZNRXG,B005IIR8HM
176,1068,3160,A30J7WQV0ZNRXG,B000B63RIU
177,1536,3160,A30J7WQV0ZNRXG,B004H2U930
178,2312,3160,A30J7WQV0ZNRXG,B000LNSHSS
179,1,10,A1YVO5V1SO18DZ,B002K9XU0Q
180,26,10,A1YVO5V1SO18DZ,B0010T3QT2
181,69,10,A1YVO5V1SO18DZ,B002K9GOPE
182,77,10,A1YVO5V1SO18DZ,B005NJRMR2
183,78,10,A1YVO5V1SO18DZ,B0015DRRGQ
184,79,10,A1YVO5V1SO18DZ,B009NSJ8J4
185,80,10,A1YVO5V1SO18DZ,B0058M2YLS
186,81,10,A1YVO5V1SO18DZ,B005X9VZ70
187,82,10,A1YVO5V1SO18DZ,B00006IF6J
188,83,10,A1YVO5V1SO18DZ,B002JG0BZM
189,84,10,A1YVO5V1SO18DZ,B00548SAP0
190,85,10,A1YVO5V1SO18DZ,B005GQKNL4
191,86,10,A1YVO5V1SO18DZ,B0095F5BBO
192,87,10,A1YVO5V1SO18DZ,B004H3XKRQ
193,88,10,A1YVO5V1SO18DZ,B008I213WQ
200,1,16,AMSSG5FPT8XMU,B002K9XU0Q
202,123,16,AMSSG5FPT8XMU,B0026ICM1E
203,124,16,AMSSG5FPT8XMU,B00006IEI4
204,125,16,AMSSG5FPT8XMU,B003VQ8SCW
207,1,24,A3KDO3XV0MK1GX,B002K9XU0Q
210,178,24,A3KDO3XV0MK1GX,B002JG0DMS
211,179,24,A3KDO3XV0MK1GX,B004F9QBBY
212,180,24,A3KDO3XV0MK1GX,B0028Y43U4
213,181,24,A3KDO3XV0MK1GX,B00G4TYQ9W
214,182,24,A3KDO3XV0MK1GX,B003BHLMMY
215,183,24,A3KDO3XV0MK1GX,B002XYO84U
216,184,24,A3KDO3XV0MK1GX,B0088X8S2S
217,185,24,A3KDO3XV0MK1GX,B005C95NGK
224,1,31,A27L5L6I7OSV5B,B002K9XU0Q
225,12,31,A27L5L6I7OSV5B,B00290FKOU
228,168,31,A27L5L6I7OSV5B,B002M7XXAI
232,225,31,A27L5L6I7OSV5B,B004GEC2L6
233,226,31,A27L5L6I7OSV5B,B002M83WRG
234,227,31,A27L5L6I7OSV5B,B0009F3P3U
238,1,45,A25KJ3W2EOJYZ4,B002K9XU0Q
240,174,45,A25KJ3W2EOJYZ4,B000V9A0Q4
241,322,45,A25KJ3W2EOJYZ4,B003NSB0C8
242,323,45,A25KJ3W2EOJYZ4,B00006IFKW
244,1,49,A2BMZRO0H7TFCS,B002K9XU0Q
245,15,49,A2BMZRO0H7TFCS,B0039N7ELS
246,26,49,A2BMZRO0H7TFCS,B0010T3QT2
248,46,49,A2BMZRO0H7TFCS,B000WU4H5C
249,69,49,A2BMZRO0H7TFCS,B002K9GOPE
251,73,49,A2BMZRO0H7TFCS,B00004Z5QP
252,79,49,A2BMZRO0H7TFCS,B009NSJ8J4
254,96,49,A2BMZRO0H7TFCS,B001CE3AQY
255,103,49,A2BMZRO0H7TFCS,B004O49F7M
256,117,49,A2BMZRO0H7TFCS,B00450DVDY
258,141,49,A2BMZRO0H7TFCS,B00005C55O
260,209,49,A2BMZRO0H7TFCS,B00D7H8XB6
261,254,49,A2BMZRO0H7TFCS,B0027CTFBO
262,257,49,A2BMZRO0H7TFCS,B001CQ8ER2
263,269,49,A2BMZRO0H7TFCS,B003MVPQN0
264,272,49,A2BMZRO0H7TFCS,B0035FX5MC
265,295,49,A2BMZRO0H7TFCS,B002K9PIKG
267,311,49,A2BMZRO0H7TFCS,B002K9M6OW
268,322,49,A2BMZRO0H7TFCS,B003NSB0C8
269,324,49,A2BMZRO0H7TFCS,B002ECFIDG
270,335,49,A2BMZRO0H7TFCS,B00007L6C2
271,336,49,A2BMZRO0H7TFCS,B006JKUWNU
272,337,49,A2BMZRO0H7TFCS,B003O2RXL0
273,338,49,A2BMZRO0H7TFCS,B00006IC3Y
274,339,49,A2BMZRO0H7TFCS,B004DMAZOC
275,340,49,A2BMZRO0H7TFCS,B001EQCJ4O
276,341,49,A2BMZRO0H7TFCS,B00BQX5MFS
277,342,49,A2BMZRO0H7TFCS,B000A0OFXS
278,343,49,A2BMZRO0H7TFCS,B0006HX1HG
279,344,49,A2BMZRO0H7TFCS,B00006IC3R
280,345,49,A2BMZRO0H7TFCS,B00331YTDM
281,346,49,A2BMZRO0H7TFCS,B00G4TYPCA
282,347,49,A2BMZRO0H7TFCS,B002MCZIUG
283,348,49,A2BMZRO0H7TFCS,B003FHF98S
291,1,105,A9NXTC0HTPSDO,B002K9XU0Q
292,27,105,A9NXTC0HTPSDO,B002M8177I
293,40,105,A9NXTC0HTPSDO,B002M835C8
294,49,105,A9NXTC0HTPSDO,B003VQHSXW
296,75,105,A9NXTC0HTPSDO,B002M7XXZ8
300,311,105,A9NXTC0HTPSDO,B002K9M6OW
301,353,105,A9NXTC0HTPSDO,B004EWL86A
302,385,105,A9NXTC0HTPSDO,B004UMNN2G
304,487,105,A9NXTC0HTPSDO,B003FHBPRM
305,490,105,A9NXTC0HTPSDO,B002NU5ND4
306,614,105,A9NXTC0HTPSDO,B002R5ARLI
307,615,105,A9NXTC0HTPSDO,B0012YXVGI
308,616,105,A9NXTC0HTPSDO,B001A3QCEY
309,617,105,A9NXTC0HTPSDO,B002R5ARNG
310,618,105,A9NXTC0HTPSDO,B00D7NYF30
313,1,118,A14JBDSWKPKTZA,B002K9XU0Q
314,78,118,A14JBDSWKPKTZA,B0015DRRGQ
315,79,118,A14JBDSWKPKTZA,B009NSJ8J4
316,132,118,A14JBDSWKPKTZA,B001BM2M8Y
317,163,118,A14JBDSWKPKTZA,B009FFXVQQ
318,167,118,A14JBDSWKPKTZA,B007BD0MQ6
319,214,118,A14JBDSWKPKTZA,B00AKWLSO0
322,325,118,A14JBDSWKPKTZA,B009SM8GJ8
323,327,118,A14JBDSWKPKTZA,B001CQDOMM
325,428,118,A14JBDSWKPKTZA,B005OKRKRW
328,583,118,A14JBDSWKPKTZA,B0050BPWBQ
329,662,118,A14JBDSWKPKTZA,B00005MEP6
330,663,118,A14JBDSWKPKTZA,B000TINEFG
331,664,118,A14JBDSWKPKTZA,B005IIR8H2
332,665,118,A14JBDSWKPKTZA,B003L20OZ0
333,666,118,A14JBDSWKPKTZA,B002FGUDDG
339,1,181,A2L6QS8SVHT9RG,B002K9XU0Q
342,26,181,A2L6QS8SVHT9RG,B0010T3QT2
343,64,181,A2L6QS8SVHT9RG,B00006IBV7
344,69,181,A2L6QS8SVHT9RG,B002K9GOPE
346,73,181,A2L6QS8SVHT9RG,B00004Z5QP
347,85,181,A2L6QS8SVHT9RG,B005GQKNL4
348,88,181,A2L6QS8SVHT9RG,B008I213WQ
349,89,181,A2L6QS8SVHT9RG,B000A0HGPM
350,131,181,A2L6QS8SVHT9RG,B007XPBW2K
351,134,181,A2L6QS8SVHT9RG,B0060J6AN6
352,168,181,A2L6QS8SVHT9RG,B002M7XXAI
355,176,181,A2L6QS8SVHT9RG,B002R5AENE
356,227,181,A2L6QS8SVHT9RG,B0009F3P3U
357,235,181,A2L6QS8SVHT9RG,B002ECFIMC
360,273,181,A2L6QS8SVHT9RG,B000E7D72C
361,274,181,A2L6QS8SVHT9RG,B0091DPYDU
363,279,181,A2L6QS8SVHT9RG,B0091Y07XG
364,295,181,A2L6QS8SVHT9RG,B002K9PIKG
366,303,181,A2L6QS8SVHT9RG,B005JYUK7K
367,322,181,A2L6QS8SVHT9RG,B003NSB0C8
368,335,181,A2L6QS8SVHT9RG,B00007L6C2
370,343,181,A2L6QS8SVHT9RG,B0006HX1HG
371,358,181,A2L6QS8SVHT9RG,B000MFHX3U
372,436,181,A2L6QS8SVHT9RG,B00004Z5SB
373,477,181,A2L6QS8SVHT9RG,B003WP2UOY
374,480,181,A2L6QS8SVHT9RG,B004VJSEZ4
375,494,181,A2L6QS8SVHT9RG,B004H3XKR6
376,496,181,A2L6QS8SVHT9RG,B0000AQO8F
378,547,181,A2L6QS8SVHT9RG,B00004Z5SN
381,615,181,A2L6QS8SVHT9RG,B0012YXVGI
382,616,181,A2L6QS8SVHT9RG,B001A3QCEY
383,618,181,A2L6QS8SVHT9RG,B00D7NYF30
384,626,181,A2L6QS8SVHT9RG,B00AVWKUJI
386,642,181,A2L6QS8SVHT9RG,B002M838PC
387,645,181,A2L6QS8SVHT9RG,B0006SV7Q2
388,726,181,A2L6QS8SVHT9RG,B007XPBW1G
389,727,181,A2L6QS8SVHT9RG,B00007FGS5
390,885,181,A2L6QS8SVHT9RG,B005IMAODI
391,889,181,A2L6QS8SVHT9RG,B0000C0CJQ
392,890,181,A2L6QS8SVHT9RG,B008DQXLA4
396,1,201,A2RFJZI6CVRX12,B002K9XU0Q
397,12,201,A2RFJZI6CVRX12,B00290FKOU
398,26,201,A2RFJZI6CVRX12,B0010T3QT2
400,69,201,A2RFJZI6CVRX12,B002K9GOPE
403,490,201,A2RFJZI6CVRX12,B002NU5ND4
404,515,201,A2RFJZI6CVRX12,B0039N3QO2
405,614,201,A2RFJZI6CVRX12,B002R5ARLI
406,942,201,A2RFJZI6CVRX12,B0013CDGT6
408,1,216,A1VYFEJM12ZP11,B002K9XU0Q
410,26,216,A1VYFEJM12ZP11,B0010T3QT2
411,32,216,A1VYFEJM12ZP11,B002K9M8RC
412,37,216,A1VYFEJM12ZP11,B002K9IHJK
413,65,216,A1VYFEJM12ZP11,B0085U9B7A
414,69,216,A1VYFEJM12ZP11,B002K9GOPE
415,72,216,A1VYFEJM12ZP11,B002K9M7MS
416,75,216,A1VYFEJM12ZP11,B002M7XXZ8
417,80,216,A1VYFEJM12ZP11,B0058M2YLS
419,107,216,A1VYFEJM12ZP11,B000TS9ITM
420,112,216,A1VYFEJM12ZP11,B0085IPZGS
421,269,216,A1VYFEJM12ZP11,B003MVPQN0
422,272,216,A1VYFEJM12ZP11,B0035FX5MC
423,295,216,A1VYFEJM12ZP11,B002K9PIKG
424,310,216,A1VYFEJM12ZP11,B00BMLQRQC
425,311,216,A1VYFEJM12ZP11,B002K9M6OW
427,396,216,A1VYFEJM12ZP11,B0063C5NMY
428,399,216,A1VYFEJM12ZP11,B00015YRCG
429,400,216,A1VYFEJM12ZP11,B004A912OU
430,446,216,A1VYFEJM12ZP11,B0018179YU
431,514,216,A1VYFEJM12ZP11,B0006HVPW4
432,545,216,A1VYFEJM12ZP11,B002M7VZXA
433,547,216,A1VYFEJM12ZP11,B00004Z5SN
434,629,216,A1VYFEJM12ZP11,B005SG9B88
435,696,216,A1VYFEJM12ZP11,B003SLHPWE
437,880,216,A1VYFEJM12ZP11,B002ECFILI
438,894,216,A1VYFEJM12ZP11,B00EVC942I
439,960,216,A1VYFEJM12ZP11,B004VJSFG2
440,969,216,A1VYFEJM12ZP11,B001DJ80RC
441,970,216,A1VYFEJM12ZP11,B0023I9QCU
444,1,225,A3N9TOPHBENB9I,B002K9XU0Q
445,103,225,A3N9TOPHBENB9I,B004O49F7M
449,335,225,A3N9TOPHBENB9I,B00007L6C2
450,515,225,A3N9TOPHBENB9I,B0039N3QO2
451,575,225,A3N9TOPHBENB9I,B005IVL0ZK
452,581,225,A3N9TOPHBENB9I,B003KGBGO0
453,583,225,A3N9TOPHBENB9I,B0050BPWBQ
454,990,225,A3N9TOPHBENB9I,B00015YOR4
455,1,240,A3JUHP1E3WUHEA,B002K9XU0Q
456,27,240,A3JUHP1E3WUHEA,B002M8177I
457,32,240,A3JUHP1E3WUHEA,B002K9M8RC
458,69,240,A3JUHP1E3WUHEA,B002K9GOPE
459,75,240,A3JUHP1E3WUHEA,B002M7XXZ8
460,86,240,A3JUHP1E3WUHEA,B0095F5BBO
461,103,240,A3JUHP1E3WUHEA,B004O49F7M
462,152,240,A3JUHP1E3WUHEA,B006Y7Z27E
463,161,240,A3JUHP1E3WUHEA,B00DGHO3NY
464,164,240,A3JUHP1E3WUHEA,B001PMJXD2
465,178,240,A3JUHP1E3WUHEA,B002JG0DMS
466,274,240,A3JUHP1E3WUHEA,B0091DPYDU
468,287,240,A3JUHP1E3WUHEA,B004YGBIVQ
469,295,240,A3JUHP1E3WUHEA,B002K9PIKG
470,311,240,A3JUHP1E3WUHEA,B002K9M6OW
471,335,240,A3JUHP1E3WUHEA,B00007L6C2
474,396,240,A3JUHP1E3WUHEA,B0063C5NMY
476,482,240,A3JUHP1E3WUHEA,B007RFYKO8
477,494,240,A3JUHP1E3WUHEA,B004H3XKR6
479,578,240,A3JUHP1E3WUHEA,B003FGWCPM
480,587,240,A3JUHP1E3WUHEA,B0039N7EI6
481,664,240,A3JUHP1E3WUHEA,B005IIR8H2
482,702,240,A3JUHP1E3WUHEA,B005J31B0Q
486,1016,240,A3JUHP1E3WUHEA,B001DEK6Z6
487,1017,240,A3JUHP1E3WUHEA,B00BS6WYHC
488,1018,240,A3JUHP1E3WUHEA,B002PLQ7LI
489,1019,240,A3JUHP1E3WUHEA,B009KBLYEG
490,1020,240,A3JUHP1E3WUHEA,B00481K4KS
491,1021,240,A3JUHP1E3WUHEA,B00005MJS0
494,1,316,A36HEY6E2XQT75,B002K9XU0Q
495,15,316,A36HEY6E2XQT75,B0039N7ELS
496,26,316,A36HEY6E2XQT75,B0010T3QT2
497,28,316,A36HEY6E2XQT75,B004A91TE8
498,251,316,A36HEY6E2XQT75,B003I5YFZA
499,254,316,A36HEY6E2XQT75,B0027CTFBO
501,295,316,A36HEY6E2XQT75,B002K9PIKG
503,335,316,A36HEY6E2XQT75,B00007L6C2
504,614,316,A36HEY6E2XQT75,B002R5ARLI
505,880,316,A36HEY6E2XQT75,B002ECFILI
507,1,337,A3EM243NDJ4DF3,B002K9XU0Q
508,4,337,A3EM243NDJ4DF3,B000XSPEPA
509,12,337,A3EM243NDJ4DF3,B00290FKOU
511,27,337,A3EM243NDJ4DF3,B002M8177I
512,40,337,A3EM243NDJ4DF3,B002M835C8
513,53,337,A3EM243NDJ4DF3,B0039N3QFQ
515,76,337,A3EM243NDJ4DF3,B004I4E05U
516,80,337,A3EM243NDJ4DF3,B0058M2YLS
519,162,337,A3EM243NDJ4DF3,B008FYFXF0
520,214,337,A3EM243NDJ4DF3,B00AKWLSO0
521,226,337,A3EM243NDJ4DF3,B002M83WRG
524,272,337,A3EM243NDJ4DF3,B0035FX5MC
526,300,337,A3EM243NDJ4DF3,B00006B8G0
527,311,337,A3EM243NDJ4DF3,B002K9M6OW
529,324,337,A3EM243NDJ4DF3,B002ECFIDG
530,326,337,A3EM243NDJ4DF3,B002V3SSBW
532,348,337,A3EM243NDJ4DF3,B003FHF98S
533,351,337,A3EM243NDJ4DF3,B00CL55JQM
534,354,337,A3EM243NDJ4DF3,B0017D3UME
536,386,337,A3EM243NDJ4DF3,B004M27EOW
537,388,337,A3EM243NDJ4DF3,B002K9KEKK
538,399,337,A3EM243NDJ4DF3,B00015YRCG
541,542,337,A3EM243NDJ4DF3,B006K0PAM2
543,584,337,A3EM243NDJ4DF3,B004ZKXC2O
544,612,337,A3EM243NDJ4DF3,B000087KUA
545,617,337,A3EM243NDJ4DF3,B002R5ARNG
546,727,337,A3EM243NDJ4DF3,B00007FGS5
548,777,337,A3EM243NDJ4DF3,B001PMHURI
549,839,337,A3EM243NDJ4DF3,B00006IATH
551,890,337,A3EM243NDJ4DF3,B008DQXLA4
552,1007,337,A3EM243NDJ4DF3,B0090J6CVI
554,1230,337,A3EM243NDJ4DF3,B00006ICDC
555,1,348,A2FNA5903D9E6Y,B002K9XU0Q
556,9,348,A2FNA5903D9E6Y,B0036IUSB4
557,88,348,A2FNA5903D9E6Y,B008I213WQ
558,129,348,A2FNA5903D9E6Y,B003YT6RMY
560,276,348,A2FNA5903D9E6Y,B005IVL0RS
561,305,348,A2FNA5903D9E6Y,B001BLVGGY
562,348,348,A2FNA5903D9E6Y,B003FHF98S
563,387,348,A2FNA5903D9E6Y,B004H41ID8
564,401,348,A2FNA5903D9E6Y,B002JFR8Q8
565,573,348,A2FNA5903D9E6Y,B00D7NYKRQ
566,664,348,A2FNA5903D9E6Y,B005IIR8H2
567,742,348,A2FNA5903D9E6Y,B0050MRBLO
568,818,348,A2FNA5903D9E6Y,B00ASHH602
569,1244,348,A2FNA5903D9E6Y,B009URRG7O
570,1,362,A26X7W5UM5QFT4,B002K9XU0Q
571,5,362,A26X7W5UM5QFT4,B001FM65II
572,26,362,A26X7W5UM5QFT4,B0010T3QT2
574,35,362,A26X7W5UM5QFT4,B002HI9RKM
575,36,362,A26X7W5UM5QFT4,B0061ZPD00
576,81,362,A26X7W5UM5QFT4,B005X9VZ70
578,106,362,A26X7W5UM5QFT4,B001PV36V8
582,404,362,A26X7W5UM5QFT4,B002M7W19C
583,460,362,A26X7W5UM5QFT4,B004EWHN0A
585,679,362,A26X7W5UM5QFT4,B00D7NYJ2W
586,742,362,A26X7W5UM5QFT4,B0050MRBLO
588,1152,362,A26X7W5UM5QFT4,B002VUCCNU
589,1263,362,A26X7W5UM5QFT4,B00002NDS2
590,1,369,AC11GZAL5N99C,B002K9XU0Q
591,15,369,AC11GZAL5N99C,B0039N7ELS
592,156,369,AC11GZAL5N99C,B001DVXWRI
593,170,369,AC11GZAL5N99C,B005J7Y6HW
594,227,369,AC11GZAL5N99C,B0009F3P3U
595,251,369,AC11GZAL5N99C,B003I5YFZA
596,272,369,AC11GZAL5N99C,B0035FX5MC
599,604,369,AC11GZAL5N99C,B000VG4AY0
600,643,369,AC11GZAL5N99C,B0033UU1J4
601,699,369,AC11GZAL5N99C,B004INGE4G
603,898,369,AC11GZAL5N99C,B004E1L29Y
605,1273,369,AC11GZAL5N99C,B00004Z5QI
606,1,375,A2RQOO8VYAEZZG,B002K9XU0Q
607,26,375,A2RQOO8VYAEZZG,B0010T3QT2
609,69,375,A2RQOO8VYAEZZG,B002K9GOPE
613,103,375,A2RQOO8VYAEZZG,B004O49F7M
614,106,375,A2RQOO8VYAEZZG,B001PV36V8
615,107,375,A2RQOO8VYAEZZG,B000TS9ITM
617,168,375,A2RQOO8VYAEZZG,B002M7XXAI
618,208,375,A2RQOO8VYAEZZG,B004VJSEPO
619,235,375,A2RQOO8VYAEZZG,B002ECFIMC
620,271,375,A2RQOO8VYAEZZG,B0006VQBTW
622,295,375,A2RQOO8VYAEZZG,B002K9PIKG
623,300,375,A2RQOO8VYAEZZG,B00006B8G0
624,306,375,A2RQOO8VYAEZZG,B002CRKUZO
625,311,375,A2RQOO8VYAEZZG,B002K9M6OW
628,326,375,A2RQOO8VYAEZZG,B002V3SSBW
630,339,375,A2RQOO8VYAEZZG,B004DMAZOC
631,358,375,A2RQOO8VYAEZZG,B000MFHX3U
632,387,375,A2RQOO8VYAEZZG,B004H41ID8
633,399,375,A2RQOO8VYAEZZG,B00015YRCG
638,864,375,A2RQOO8VYAEZZG,B0074ZN27C
639,885,375,A2RQOO8VYAEZZG,B005IMAODI
640,889,375,A2RQOO8VYAEZZG,B0000C0CJQ
642,1208,375,A2RQOO8VYAEZZG,B00007LVCN
643,1278,375,A2RQOO8VYAEZZG,B002I47P40
644,1,441,A3F9CMU8KNAY1M,B002K9XU0Q
645,2,441,A3F9CMU8KNAY1M,B00006B7UW
646,15,441,A3F9CMU8KNAY1M,B0039N7ELS
648,42,441,A3F9CMU8KNAY1M,B00G411O8G
649,46,441,A3F9CMU8KNAY1M,B000WU4H5C
652,94,441,A3F9CMU8KNAY1M,B001DPSUUI
653,110,441,A3F9CMU8KNAY1M,B00BWU3HNY
656,147,441,A3F9CMU8KNAY1M,B0010SYG24
657,148,441,A3F9CMU8KNAY1M,B00466DTE8
658,170,441,A3F9CMU8KNAY1M,B005J7Y6HW
659,242,441,A3F9CMU8KNAY1M,B00CPXF3CA
661,272,441,A3F9CMU8KNAY1M,B0035FX5MC
662,311,441,A3F9CMU8KNAY1M,B002K9M6OW
663,318,441,A3F9CMU8KNAY1M,B00464E5P2
665,335,441,A3F9CMU8KNAY1M,B00007L6C2
666,339,441,A3F9CMU8KNAY1M,B004DMAZOC
667,348,441,A3F9CMU8KNAY1M,B003FHF98S
668,399,441,A3F9CMU8KNAY1M,B00015YRCG
670,470,441,A3F9CMU8KNAY1M,B009FFQRBC
671,484,441,A3F9CMU8KNAY1M,B000J07BRQ
672,515,441,A3F9CMU8KNAY1M,B0039N3QO2
673,555,441,A3F9CMU8KNAY1M,B001R4C5BK
674,584,441,A3F9CMU8KNAY1M,B004ZKXC2O
675,615,441,A3F9CMU8KNAY1M,B0012YXVGI
676,695,441,A3F9CMU8KNAY1M,B002GHBUTU
677,712,441,A3F9CMU8KNAY1M,B001PM6RX6
678,1040,441,A3F9CMU8KNAY1M,B000XSZ6WG
679,1095,441,A3F9CMU8KNAY1M,B002OT8C8C
680,1102,441,A3F9CMU8KNAY1M,B005YGLA5Y
